Text;Size;Color;Angle;Font;Repeat;URL
Node.js;12;Random;Random;Random;Yes;
Software Developer;10;Random;Random;Random;Yes;
Frontend;8;Random;Random;Random;Yes;
Middleware;6;Random;Random;Random;Yes;
Technical Lead;6;Random;Random;Random;Yes;
WHMCS;6;Random;Random;Random;Yes;
JavaScript;6;Random;Random;Random;Yes;
CI / CD;6;Random;Random;Random;Yes;
Backend;6;Random;Random;Random;Yes;
Team Lead;6;Random;Random;Random;Yes;
Domain;4;Random;Random;Random;Yes;
Project Management;4;Random;Random;Random;Yes;
DNSControl;4;Random;Random;Random;Yes;
TypeScript;4;Random;Random;Random;Yes;
Programming;4;Random;Random;Random;Yes;
Gitlab;3;Random;Random;Random;Yes;
Teamplayer;3;Random;Random;Random;Yes;
Coverage Report;3;Random;Random;Random;Yes;
PHP;3;Random;Random;Random;Yes;
Git;3;Random;Random;Random;Yes;
Git SCM;3;Random;Random;Random;Yes;
G Suite;3;Random;Random;Random;Yes;
GitHub Actions;3;Random;Random;Random;Yes;
Quality Assurance;2;Random;Random;Random;Yes;
Performance;2;Random;Random;Random;Yes;
Automation;2;Random;Random;Random;Yes;
Engineer;2;Random;Random;Random;Yes;
API;2;Random;Random;Random;Yes;
GO/Golang;2;Random;Random;Random;Yes;
Web App;2;Random;Random;Random;Yes;
Linux;2;Random;Random;Random;Yes;
Angular;2;Random;Random;Random;Yes;
Semantic Versioning;2;Random;Random;Random;Yes;
Confluence;2;Random;Random;Random;Yes;
JIRA;2;Random;Random;Random;Yes;
Web;1;Random;Random;Random;Yes;
IONCube;1;Random;Random;Random;Yes;
Tests;1;Random;Random;Random;Yes;
jQuery;1;Random;Random;Random;Yes;
DNS;1;Random;Random;Random;Yes;
Drop-Catching;1;Random;Random;Random;Yes;
Semantic Release;1;Random;Random;Random;Yes;
Ansible;1;Random;Random;Random;Yes;
Security;1;Random;Random;Random;Yes;
Blesta;1;Random;Random;Random;Yes;
MySQL;1;Random;Random;Random;Yes;
No-SQL;1;Random;Random;Random;Yes;
Java;1;Random;Random;Random;Yes;
German;1;Random;Random;Random;Yes;
English;1;Random;Random;Random;Yes;
French;1;Random;Random;Random;Yes;
Python;1;Random;Random;Random;Yes;
Java;1;Random;Random;Random;Yes;
Perl;1;Random;Random;Random;Yes;
Atlassian Tools;1;Random;Random;Random;Yes;
Travis CI;1;Random;Random;Random;Yes;
Software Architecture;1;Random;Random;Random;Yes;
Apache;1;Random;Random;Random;Yes;
Redis;1;Random;Random;Random;Yes;
MariaDB;1;Random;Random;Random;Yes;
Bootstrap;1;Random;Random;Random;Yes;
FontAwesome;1;Random;Random;Random;Yes;
Unit Tests;1;Random;Random;Random;Yes;
TDD;1;Random;Random;Random;Yes;
Bash;1;Random;Random;Random;Yes;
ZSH;1;Random;Random;Random;Yes;
Oh-my-ZSH;1;Random;Random;Random;Yes;
OOP;1;Random;Random;Random;Yes;
PM2;1;Random;Random;Random;Yes;
SQL;1;Random;Random;Random;Yes;
Laravel;1;Random;Random;Random;Yes;
Query Builder;1;Random;Random;Random;Yes;
HTML5;1;Random;Random;Random;Yes;
CSS;1;Random;Random;Random;Yes;
Web Automation;1;Random;Random;Random;Yes;
puppeteer;1;Random;Random;Random;Yes;
cross-browser;1;Random;Random;Random;Yes;
SSL;1;Random;Random;Random;Yes;
OpenSSL;1;Random;Random;Random;Yes;
Version Control;1;Random;Random;Random;Yes;
Static Code Analysis;1;Random;Random;Random;Yes;
Linter;1;Random;Random;Random;Yes;
Formatter;1;Random;Random;Random;Yes;
Visual Studio Code;1;Random;Random;Random;Yes;
Workflow;1;Random;Random;Random;Yes;
Mocha;1;Random;Random;Random;Yes;
Ava;1;Random;Random;Random;Yes;
NYC;1;Random;Random;Random;Yes;
IDN;1;Random;Random;Random;Yes;
Express.js;1;Random;Random;Random;Yes;
